code;libelle
und;langue indéterminée
aar;afar
abk;abkhaze
ace;aceh
ach;acoli
ada;adangmé
ady;adyghé
afa;langues afro-asiatiques
afh;afrihili
afr;afrikaans
ain;aïnou
aka;akan
akk;akkadien
alb;albanais
ale;aléoute
alg;langues algonquiennes
alt;altaï du Sud
amh;amharique
ang;anglo-saxon (environ 450-1100), ancien anglais
anp;angika
apa;langues apaches
ara;arabe
arc;araméen d'empire (700-300 BCE)
arg;aragonais
arm;arménien
arn;mapudungun, mapouche, mapuce
arp;arapaho
art;langues artificielles
arw;arawak
asm;assamais
ast;asturien, bable, léonais, asturoléonais
ath;langues athapascanes
aus;langues australiennes
ava;avar
ave;avestique
awa;awadhi
aym;aymará
aze;azéri
bad;langues banda
bai;langues bamilékées
bak;bachkir
bal;baloutche
bam;bambara
ban;balinais
baq;basque
bas;basa
bat;langues baltes
bej;bedja
bel;biélorusse
bem;bemba
ben;bengalî
ber;langues berbères
bho;bhodjpouri
bih;bihari
bik;bikol central
bin;bini, edo
bis;bichelamar, bêche-de-mer
bla;blackfoot (siksika)
bnt;langues bantoues
bos;bosniaque
bra;braj basha
bre;breton
btk;langues batak
bua;bouriate
bug;bugi
bul;bulgare
bur;birman
byn;blin, bilen
cad;caddo
cai;langues indiennes d'Amérique centrale
car;galibi, carib, karib
cat;catalan
cau;langues caucasiennes
ceb;cébouano
cel;langues celtiques
cha;chamorro
chb;chibcha
che;tchétchène
chg;djaghataï
chi;Chinois
chk;chuuk
chm;mari
chn;chinook jargon
cho;choctaw
chp;chipewyan
chr;cherokee
chu;slavon d'église, vieux slave, slavon liturgique, vieux bulgare
chv;tchouvache
chy;cheyenne
cmc;langues chames
cop;copte
cor;cornique
cos;corse
cpe;créoles et pidgins basés sur l'anglais
cpf;créoles et pidgins basés sur le français
cpp;créoles et pidgins basés sur le portugais
crp;créoles et pidgins
cre;cree
crh;tatar de Crimée
csb;cachoube
cus;langues couchitiques
cze;tchèque
dak;dakota
dan;danois
dar;dargwa
day;langues Land Dayak
del;delaware
den;slavey (langue)
dgr;dogrib
din;dinka
div;maldivien
doi;dogri (kangri)
dra;langues dravidiennes
dsb;bas-sorabe
dua;douala
dum;Néerlandais, moyen (environ 1050-1350)
dut;néerlandais, flamand
dyu;dioula
dzo;dzongkha
efi;éfik
egy;égyptien ancien
eka;ekajuk
elx;élamite
eng;anglais
enm;Anglais, moyen (1100-1500)
epo;espéranto
est;estonien
ewe;éwé
ewo;éwondo
fan;fang
fao;féroïen
fat;fanti
fij;fidjien
fil;filipino
fin;finnois
fiu;langues finno-ougriennes
fon;fon
fre;français
frm;moyen français (1400-1600)
fro;ancien français (842-environ 1400)
frr;frison septentrional
frs;frison oriental
fry;frison occidental
ful;peul
fur;frioulan
gaa;ga
gay;gayo
gba;gbaya
gem;langues germaniques
geo;géorgien
ger;allemand
gez;guèze
gil;gilbertin
gla;gaélique écossais, Gaélique
gle;irlandais
glg;galicien
glv;mannois, manx
gmh;moyen haut-allemand (environ 1050-1500)
goh;vieux haut allemand (environ 750-1050)
gon;gondî
gor;gorontalo
got;gotique
grb;grébo
grc;grec ancien (jusqu'à 1453)
gre;grec moderne (après 1453)
grn;Guarani
gsw;alémanique, suisse alémanique, alsacien
guj;goudjrati
gwi;gwich'in
hai;haïda
hat;haïtien, créole haïtien
hau;haoussa
haw;hawaïen
heb;hébreu
her;héréro
hil;hiligaïnon
him;himachali
hin;hindi
hit;hittite
hmn;hmong
hmo;hiri motou
hrv;croate
hsb;haut-sorabe
hun;hongrois
hup;houpa
iba;iban
ibo;igbo
ice;islandais
ido;ido
iii;yi de Sichuan
ijo;langues ijo
iku;inuktitut
ile;interlingue
ilo;ilocano
ina;interlingua (langue auxiliaire internationale)
inc;langues indo-aryennes
ind;indonésien
ine;langues indo-européennes
inh;ingouche
ipk;inupiaq
ira;langues iraniennes
iro;langues iroquoises
ita;italien
jav;javanais
jbo;lojban
jpn;japonais
jpr;judéo-persan
jrb;judéo-arabe
kaa;karakalpak
kab;kabyle
kac;jinghpo, kachin
kal;groenlandais
kam;kamba
kan;kannada
kar;langues karens
kas;kashmiri
kau;kanouri
kaw;kawi
kaz;kazakh
kbd;kabarde
kha;khasi
khi;langues khoïsan
khm;khmer central
kho;khotanais, sakan
kik;kikouyou
kin;rwanda
kir;kirghize
kmb;kimboundou
kok;konkani
kom;kom
kon;kongo
kor;coréen
kos;kosraéen
kpe;kpellé
krc;karatchaï-balkar
krl;carélien
kro;langues krou
kru;kouroukh
kua;kuanyama, kwanyama
kum;koumyk
kur;kurde
zza;zaza, dimili, dimli, kirdki, kirmanjki, zazaki
kut;koutenai
lad;judéo-espagnol
lah;lahnda
lam;lamba
lao;lao
lat;latin
lav;letton
lez;lezguien
lim;limbourgeois
lin;lingala
lit;lituanien
lol;mongo
loz;lozi
ltz;luxembourgeois
lua;luba-Lulua
lub;luba-Katanga
lug;ganda
lui;luiseño
lun;lounda
luo;luo
lus;lousaï
mac;macédonien
mad;madurais
mag;magahi
mah;marshallais
mai;maïthili
mak;makassar
mal;malayalam
man;mandingue
mao;m?ori
map;langues austronésiennes
mar;marathe
mas;massaï
may;malais
mdf;mokcha
mdr;mandar
men;mendé
mga;moyen irlandais (900-1200)
mic;mi'kmaq, micmac
min;minangkabao
mis;langues non codées
mkh;langues môn-khmer
mlg;malgache
mlt;maltais
mnc;mandchou
mni;manipuri
mno;langues manobo
moh;mohawk
mol;Moldave
mon;mongol
mos;moré
mul;multilingue
mun;langues mounda
mus;muskogee
mwl;mirandais
mwr;marvari
myn;langues mayas
myv;erza
nah;langues nahuatl
nai;langues indiennes d'Amérique du Nord
nap;napolitain
nau;nauri
nav;navaho
nbl;ndébélé du Sud
nde;ndébélé du Nord
ndo;ndonga
nds;bas-allemand, bas-saxon
nep;népalais
new;nepal ghasa, néwari
nia;nias
nic;langues nigéro-congolaises
niu;niué
nno;norvégien nynorsk
nob;norvégien bokmål
nog;nogaï
non;vieux norrois
nor;Norvégien
nqo;n'ko
nso;sotho du Nord, pedi, sepedi
nub;langues nubiennes
nwc;newari classique
nya;chichewa, chewa, nyanja
nym;nyamwézi
nyn;nyankolé
nyo;nyoro
nzi;nzéma
oci;occitan (après 1500), provençal
oji;ojibwa
ori;oriya
orm;galla
osa;osage
oss;ossète
ota;turc ottoman (1500-1928)
oto;langues otomi
paa;langues papoues
pag;pangasinan
pal;pèhlevî
pam;pampangan
pan;pendjabi
pap;papiamento
pau;paluan
peo;perse, vieux (environ 600-400 av. J.-C.)
per;persan
phi;langues philippines
phn;phénicien
pli;pali
pol;polonais
pon;pohnpei
por;portugais
pra;langues prâkrit
pro;provençal ancien, occitan ancien (jusqu'à 1500)
pus;Pachto (Pachtou)
qaa;réservé pour usage local
que;quéchua
raj;rajasthani
rap;rapanui
rar;m?ori des îles Cook, rarotongien
roa;langues romanes
roh;romanche
rom;romani, tsigane
rum;roumain, moldave
run;roundi
rup;aroumain, macédo-roumain
rus;russe
sad;sandawé
sag;sango
sah;iakoute
sai;langues indiennes d'Amérique du Sud
sal;langues salishennes
sam;samaritain
san;sanskrit
